wilayah,latitude,longitude
arjawinangun,-6.652203610976503,108.40335672154322
arjawinangun,-6.655212053717042,108.40443254664895
arjawinangun,-6.651422271176057,108.41457294391088
arjawinangun,-6.649221938237084,108.41863927177094
arjawinangun,-6.651241422265009,108.41653024351518
arjawinangun,-6.642547877248011,108.42311697459498
arjawinangun,-6.641574077865726,108.42210216047717
arjawinangun,-6.6439854386232495,108.42079729407432
arjawinangun,-6.64453001277833,108.4186214316574
arjawinangun,-6.646301583941021,108.4151601873202
arjawinangun,-6.647507254208449,108.41280839322202
arjawinangun,-6.649263953554038,108.41205892186535
arjawinangun,-6.650261439271236,108.41180971364206
arjawinangun,-6.6400805495171085,108.41375655983074
arjawinangun,-6.637443102155394,108.41158684011437
arjawinangun,-6.642220639275417,108.40973575056616
arjawinangun,-6.642823479780592,108.40718670922102
arjawinangun,-6.649508547224338,108.40383985884108
arjawinangun,-6.645458090553875,108.40708772109541
arjawinangun,-6.645834461827745,108.40937926835261
arjawinangun,-6.649096334132848,108.40703359005782
arjawinangun,-6.6494727026214155,108.4075027257168
arjawinangun,-6.6435724837677075,108.40283379192915
arjawinangun,-6.640357827026358,108.40802114723436
arjawinangun,-6.635161780927018,108.40840391146176
arjawinangun,-6.633767710456342,108.40518869186761
arjawinangun,-6.636327727745223,108.40174381373102
arjawinangun,-6.638608920057244,108.40437212816117
arjawinangun,-6.640915448202976,108.40360659968636
arjawinangun,-6.649639710862881,108.40374559686316
arjawinangun,-6.644240992993169,108.40208695183443
arjawinangun,-6.635282395538235,108.4005669635533
arjawinangun,-6.639920818649391,108.3939579010542
arjawinangun,-6.641112100591341,108.396637250716
arjawinangun,-6.6391097314220024,108.39735174395913
arjawinangun,-6.641119167934246,108.40083739872901
arjawinangun,-6.627710766239844,108.40301271360237
arjawinangun,-6.628553150957164,108.40548469765149
arjawinangun,-6.630506761038479,108.40299466992317
arjawinangun,-6.629879455892948,108.4059309210474
arjawinangun,-6.600032661965991,108.38679440593074
arjawinangun,-6.6013000854922,108.38850408619113
arjawinangun,-6.602085886449097,108.38495713759123
arjawinangun,-6.603053591349992,108.3895410007031
arjawinangun,-6.60279736357647,108.3842001521705
arjawinangun,-6.603008374693726,108.38706782368375
arjawinangun,-6.603716768500808,108.38796302272756
arjawinangun,-6.605641310281454,108.38546334677413
arjawinangun,-6.605497919098729,108.3897396987423
arjawinangun,-6.606949752903823,108.38807968025677
arjawinangun,-6.609175677739719,108.39081060885327
arjawinangun,-6.609229449038306,108.3866786063186
arjawinangun,-6.610844318413421,108.39087043501115
arjawinangun,-6.6102707594670145,108.38644973360944
arjawinangun,-6.6125649912598465,108.39114109019901
arjawinangun,-6.609177410882373,108.38856084407475
arjawinangun,-6.611963826984659,108.38414143302872
arjawinangun,-6.6144363551433365,108.3913512107113
arjawinangun,-6.6144363551433365,108.38740299912322
arjawinangun,-6.61562940282229,108.38362813602322
arjawinangun,-6.617758605339003,108.3905178922964
arjawinangun,-6.617507573659763,108.3877480038257
